,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write
10,CN9,4G,2,12,947.0,1214.0,1771.0,3044.0,1264.0,1392.0,1340.33,2798.6,5951.47,5940.29,5914.02,5932.25,695.43,691.69,690.43,692.39,5707.86,5720.8,5675.56,5777.19,672.46,668.29,670.22,671.59
11,CN9,4G,2,24,963.0,1312.0,1850.0,3239.0,1228.0,1371.0,1321.52,2764.0,6091.97,5990.7,6146.37,5979.28,701.14,686.3,707.74,693.88,5603.76,5612.97,5534.11,5559.34,652.63,649.86,646.77,649.7
12,CN9,4G,4,1,3300.0,7091.0,13395.0,43280.0,484.0,1483.0,895.22,3481.0,8474.61,8274.76,8239.12,8272.79,985.63,978.08,958.21,977.95,7957.17,8111.24,7802.76,8106.03,945.59,941.59,930.58,943.22
13,CN9,4G,4,2,3161.0,8205.0,13120.0,29006.0,455.0,1462.0,920.3,3374.4,8273.0,7883.95,7532.62,8306.61,982.21,888.28,886.87,980.5,7770.98,7205.96,7087.03,7699.74,925.57,836.7,825.14,924.06
14,CN9,4G,4,4,4466.0,11705.0,17852.0,26424.0,409.0,1331.0,805.58,3164.2,8139.82,8307.48,8162.0,8101.74,963.1,960.02,958.46,959.36,7650.05,7932.29,7574.71,7274.25,904.78,949.22,902.24,855.82
15,CN9,4G,4,8,1196.0,3845.0,6513.0,8988.0,1060.0,1407.0,1237.16,5075.2,8321.61,8321.37,8422.44,8408.43,986.6,977.0,991.44,984.96,8129.73,7962.75,7838.82,8008.27,966.39,950.4,938.83,959.99
16,CN9,4G,4,12,1157.0,8670.0,19740.0,26818.0,510.0,1417.0,1081.53,4307.8,8898.74,9045.0,8869.54,8770.85,1048.11,1043.24,1044.04,1037.87,8105.9,8113.48,8128.62,8025.75,962.49,962.66,961.29,958.83
17,CN9,4G,4,24,1092.0,5821.0,11250.0,15326.0,894.0,1412.0,1168.89,4778.0,8582.63,8510.61,8312.89,8484.13,1004.92,988.32,970.61,992.6,8170.81,8068.14,8097.04,8180.04,972.68,956.34,956.81,970.07
18,CN9,4G,8,1,9215.0,16187.0,23619.0,38142.0,222.0,1440.0,437.12,3126.4,9555.58,9333.32,9492.67,9643.96,1120.61,1121.07,1118.15,1127.23,9105.58,9026.35,9069.52,9138.62,1081.77,1081.07,1083.28,1084.26
19,CN9,4G,8,2,10709.0,17616.0,26241.0,35652.0,119.0,1438.0,428.84,2932.4,9132.96,9062.01,8917.88,9093.52,1086.34,1083.5,1055.07,1083.65,8737.74,8869.07,8882.34,8731.65,1046.77,1049.62,1070.66,1046.8
20,CN9,4G,8,4,13671.0,21417.0,30304.0,49283.0,150.0,1420.0,396.57,2988.2,9353.81,9396.11,9394.68,9338.94,1106.92,1105.52,1117.9,1100.79,9084.96,9226.39,9123.92,9118.5,1100.65,1102.79,1088.39,1085.77
21,CN9,4G,8,8,14471.0,23095.0,36124.0,56728.0,207.0,1330.0,432.2,3469.8,9401.64,9372.89,9375.64,9459.64,1121.69,1119.99,1130.59,1136.63,9025.6,9077.58,8801.72,9011.0,1090.01,1094.03,1056.34,1076.3
22,CN9,4G,8,12,17249.0,25350.0,39374.0,54264.0,209.0,1272.0,390.21,3063.6,9327.7,9160.27,9198.42,9282.18,1105.35,1096.25,1104.81,1111.02,9007.88,9286.03,9004.43,9066.27,1086.05,1109.27,1085.33,1090.93
23,CN9,4G,8,24,14025.0,23986.0,37565.0,48182.0,255.0,1418.0,442.71,3633.0,9509.35,9567.87,9404.09,9501.82,1137.41,1137.7,1122.38,1133.57,9264.06,9319.12,9302.93,9407.63,1113.51,1118.35,1114.73,1125.11
24,CN9,4G,16,1,17171.0,25035.0,36439.0,46400.0,100.0,1426.0,208.8,2995.0,10141.39,10464.61,10155.03,10082.42,1226.29,1230.48,1226.2,1225.19,10109.61,10011.46,10122.48,10042.85,1221.09,1219.79,1221.28,1219.34
25,CN9,4G,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,CN9,4G,16,4,23987.0,31589.0,44827.0,56886.0,102.0,1092.0,199.03,2906.0,10276.71,10138.84,10127.15,10225.33,1230.06,1226.97,1226.36,1228.14,10116.53,9953.02,10129.27,10240.53,1220.39,1210.02,1221.83,1225.4
27,CN9,4G,16,8,26608.0,40370.0,58458.0,70779.0,134.0,1070.0,189.2,3146.0,10114.87,10099.99,9991.53,10220.94,1218.62,1219.4,1210.38,1223.57,9902.7,10003.65,9800.54,9991.65,1191.55,1190.47,1190.33,1193.24
28,CN9,4G,16,12,29579.0,44303.0,60905.0,74012.0,107.0,1060.0,189.59,2966.33,10095.88,10183.13,10042.66,10160.52,1218.91,1226.63,1215.94,1219.85,9931.68,9989.55,9898.54,9956.93,1197.52,1206.17,1198.54,1200.86
29,CN9,4G,16,24,33817.0,49546.0,65799.0,78119.0,116.0,848.0,188.34,3124.0,10206.55,9840.63,9969.34,9962.54,1213.54,1192.26,1201.22,1188.18,9976.84,10267.13,9949.17,9968.55,1194.56,1211.65,1198.12,1192.77
30,CN9,8G,1,1,807.0,1045.0,1411.0,5741.0,1290.0,1457.0,1399.82,1468.0,2958.88,3055.45,4366.22,4443.2,349.26,347.68,511.57,511.5,2888.82,2859.4,4327.76,4310.21,331.98,331.4,496.59,496.98
31,CN9,8G,1,2,779.0,997.0,1152.0,11262.0,1255.0,1520.0,1423.53,1493.6,3834.89,3906.93,4621.83,3188.19,431.25,428.11,508.84,345.28,3716.73,4462.74,3792.42,3082.02,414.06,494.68,412.89,330.89
32,CN9,8G,1,4,799.0,1007.0,1185.0,19228.0,1263.0,1480.0,1409.31,1480.0,4026.43,4032.61,4035.21,4043.93,438.96,436.29,435.82,435.22,3894.12,3923.34,3845.21,3947.56,421.72,420.82,421.47,421.66
33,CN9,8G,1,8,789.0,992.0,1447.0,5187.0,1283.0,1489.0,1416.6,1487.8,4060.4,4012.86,4021.28,4047.83,439.42,435.94,435.63,436.12,3922.09,3917.91,3875.1,3900.75,422.63,422.14,422.13,421.16
34,CN9,8G,1,12,773.0,951.0,1604.0,3093.0,1301.0,1473.0,1419.62,1490.6,3975.22,3918.21,3950.84,3973.53,429.82,426.65,426.72,426.78,3682.68,3957.1,3962.61,3686.51,399.27,427.48,426.58,400.12
35,CN9,8G,1,24,774.0,962.0,1624.0,1886.0,1304.0,1478.0,1421.07,1490.8,3956.17,3985.6,3923.4,3959.22,429.59,427.44,427.39,426.76,3869.17,3850.98,3820.13,3801.25,413.14,412.68,412.23,412.83
36,CN9,8G,2,1,838.0,973.0,1427.0,3243.0,1238.0,1429.0,1358.85,2826.4,7514.62,7526.66,7460.94,7501.95,862.1,859.99,859.45,859.59,7271.62,7320.76,7233.79,7215.97,824.03,827.21,827.24,825.29
37,CN9,8G,2,2,833.0,954.0,1253.0,15398.0,1173.0,1454.0,1372.04,2850.2,6708.37,7908.89,7195.51,7255.61,779.87,939.7,849.65,851.62,6570.83,7804.14,7068.03,7222.85,759.37,923.75,833.68,850.42
38,CN9,8G,2,4,910.0,1107.0,1805.0,21330.0,1176.0,1413.0,1327.04,2764.0,7776.84,7686.03,7581.6,7701.63,900.19,897.2,897.7,897.11,7368.42,7352.94,7366.27,7263.25,859.87,863.01,863.8,861.39
39,CN9,8G,2,8,917.0,1146.0,1575.0,1844.0,1245.0,1386.0,1335.18,2792.0,7306.83,7226.79,7283.15,7362.22,863.01,840.54,860.91,858.35,6892.84,7057.22,6874.49,6856.49,809.12,831.77,809.77,810.79
40,CN9,8G,2,12,943.0,1201.0,1640.0,2484.0,1219.0,1380.0,1311.56,2735.0,7143.32,7108.34,7134.61,7275.85,845.23,841.29,839.93,839.98,6860.48,6910.34,6986.18,6901.3,810.23,811.42,813.24,810.47
41,CN9,8G,2,24,975.0,1309.0,1878.0,3516.0,1198.0,1379.0,1309.89,2725.8,7499.69,7602.89,7471.26,7532.41,880.73,892.98,878.77,877.77,7062.31,7162.65,7006.29,7024.59,829.23,817.34,828.41,828.59
42,CN9,8G,4,1,3582.0,7019.0,12518.0,22885.0,564.0,1462.0,820.01,3254.2,9984.16,9901.02,9839.11,9732.28,1181.19,1162.11,1163.22,1149.85,9629.33,9582.25,9458.01,9666.58,1130.06,1120.43,1130.13,1128.09
